Every Fire Sale Item in 2022,,,,,,
,,,,,,
2022,,,,,,
,,,,,,
Cosmetic,Date Available,Stock,Price,Applied to,Animated,Skyblock ID
Baby Seal Backpack Skin,24-Dec-2022,"5,000",650,Backpack,No,BABYSEAL_BACKPACK
Penguin Backpack Skin,,"5,000",650,,,PENGUIN_BACKPACK
Reindeer Backpack Skin,,"5,000",650,,,REINDEER_BACKPACK
Reindrake Griffin Skin,,"5,000","1,350",Griffin Pet,Yes,PET_SKIN_GRIFFIN_REINDRAKE
Aurora Reindeer Skin,,"5,000",1350,Reindeer Pet,,PET_SKIN_REINDEER_AURORA
Celestial Maxor Skin,9-Dec-2022,"8,000","1,350",Maxor's Helmet,Yes,MAXOR_CELESTIAL
Celestial Goldor Skin,,"8,000","1,350",Goldor's Helmet,,GOLDOR_CELESTIAL
Celestial Necron Skin,,"8,000","1,350",Necron's Helmet,,NECRON_CELESTIAL
Celestial Storm Skin,,"8,000","1,350",Storm's Helmet,,STORM_CELESTIAL
Turkey Chicken Skin,24-Nov-2022,"5,000",650,Chicken Pet,No,PET_SKIN_CHICKEN_TURKEY
Neon Tiger Skin,4-Nov-2022,"8,000","1,350",Tiger Pet,Yes,PET_SKIN_TIGER_NEON
Ice Golem Snowman Skin,21-Oct-2022,"7,500",650,Snowman Pet,No,PET_SKIN_SNOWMAN_ICE_GOLEM
Moocelium Mooshroom Cow Skin,,"7,500",,Mooshroom Cow Pet,,PET_SKIN_MOOSHROOM_COW_MOOCELIUM
Chroma Sheep Skin,7-Oct-2022,"7,500","1,350",Sheep Pet,Yes,PET_SKIN_SHEEP_CHROMA_WOOLY
White Wooly Sheep Skin,,"5,000",650,,No,PET_SKIN_SHEEP_WHITE_WOOLY
Black Wooly Sheep Skin,,"5,000",650,,,PET_SKIN_SHEEP_BLACK_WOOLY
Anubis Golden Dragon Skin,23-Sep-2022,"10,000","1,350",Golden Dragon Pet,Yes,PET_SKIN_GOLDEN_DRAGON_ANUBIS
Luminescent Jellyfish Skin,9-Sep-2022,"7,500","1,350",Jellyfish Pet,Yes,PET_SKIN_JELLYFISH_LUMINESCENT
RGBee Bee Skin,26-Aug-2022,"8,000","1,350",Bee Pet,Yes,PET_SKIN_BEE_RGBEE
Grand Searing Rune III,5-Aug-2022,"7,200",950,Chestplate,No,RUNE_GRAND_SEARING
Undead Ender Dragon Skin,22-Jul-2022,"7,500",950,Ender Dragon Pet,No,PET_SKIN_ENDER_DRAGON_UNDEAD
Baby Megalodon Skin,7-Jul-2022,"6,000",650,Megalodon Pet,No,PET_SKIN_MEGALODON_BABY
Inferno Bal Skin,24-Jun-2022,"9,000","1,350",Bal Pet,Yes,PET_SKIN_BAL_INFERNO
Neon Enderman Skin,9-Jun-2022,"7,500",950,Enderman Pet,Yes,PET_SKIN_ENDERMAN_NEON
Xenon Enderman Skin,,"7,500",650,,,PET_SKIN_ENDERMAN_XENON
True Warden Skin,27-May-2022,"7,500","1,350",Warden Helmet,Yes,TRUE_WARDEN
Handsome Jerry Skin,1-Apr-2022,"10,000",650,Jerry Pet,No,PET_SKIN_JERRY_HANDSOME
Enchanted Armadillo Skin,16-Feb-2022,"10,000","1,350",Armadillo Pet,Yes,PET_SKIN_ARMADILLO_ENCHANTED
Seafoam Armadillo Skin,,"10,000","1,350",,,PET_SKIN_ARMADILLO_SEAFOAM
Golden Tiger Skin,30-Jan-2022,"15,000","1,350",Tiger Pet,Yes,PET_SKIN_TIGER_GOLDEN
Snubfin Dolphin Skin,18-Jan-2022,"15,000","1,350",Dolphin Pet,Yes,PET_SKIN_DOLPHIN_SNUBFIN
Green Snubfin Dolphin Skin,,"5,000",650,,No,PET_SKIN_DOLPHIN_SNUBNOSE_GREEN
Red Snubfin Dolphin Skin,,"5,000",650,,,PET_SKIN_DOLPHIN_SNUBNOSE_RED
Purple Snubfin Dolphin Skin,,"5,000",650,,,PET_SKIN_DOLPHIN_SNUBNOSE_PURPLE
