Every Fire Sale Item in 2021,,,,,,
,,,,,,
2021,,,,,,
,,,,,,
Cosmetic,Date Available,Stock,Price,Applied to,Animated,Skyblock ID
Frozen Blaze Skin,24-Dec-2021,"10,000","1,350",Blaze Pet,Yes,PET_SKIN_BLAZE_FROZEN
Snow Tiger Ocelot Skin,14-Dec-2021,"7,000",650,Ocelot Pet,No,PET_SKIN_OCELOT_SNOW_TIGER
Ice Phoenix Skin,25-Nov-2021,"5,000",650,Phoenix Pet,No,PET_SKIN_PHOENIX_ICE
Vampire Bat Skin,31-Oct-2021,"5,000","1,350",Bat Pet,Yes,PET_SKIN_BAT_VAMPIRE
Gold Macaw Parrot Skin,20-Oct-2021,"5,000",650,Parrot Pet,No,PET_SKIN_PARROT_GOLD_MACAW
Saber-Tooth Tiger Skin,28-Sep-2021,"7,000",650,Tiger Pet,No,PET_SKIN_TIGER_SABER_TOOTH
Glow Squid Skin,14-Sep-2021,"5,000","1,350",Squid Pet,Yes,PET_SKIN_SQUID_GLOW
Beagle Hound Skin,24-Aug-2021,"5,000",650,Hound Pet,No,PET_SKIN_HOUND_BEAGLE
Dark Wolf Skin,10-Aug-2021,"5,000",650,Wolf Pet,No,PET_SKIN_WOLF
Shimmer Skin (Holy),21-Jul-2021,"2,000","1,350",Holy Dragon Helmet,Yes,HOLY_SHIMMER
Shimmer Skin (Strong),,"2,000","1,350",Strong Dragon Helmet,,STRONG_SHIMMER
Shimmer Skin (Protector),,"2,000","1,350",Protector Dragon Helmet,,PROTECTOR_SHIMMER
Shimmer Skin (Old),,"2,000","1,350",Old Dragon Helmet,,OLD_SHIMMER
Shimmer Skin (Wise),,"2,000","1,350",Wise Dragon Helmet,,WISE SHIMMER
Shimmer Skin (Young),,"2,000","1,350",Young Dragon Helmet,,YOUNG_SHIMMER
Shimmer Skin (Unstable),,"2,000","1,350",Unstable Dragon Helmet,,UNSTABLE_SHIMMER
Pastel Ender Dragon Skin,30-Jun-2021,"7,500",950,Ender Dragon Pet,No,PET_SKIN_DRAGON_PASTEL
Radiant Endermite Skin,2-Jun-2021,"5,000","1,350",Endermite Pet,Yes,PET_SKIN_ENDERMITE_RADIANT
Gorilla Monkey Skin,13-May-2021,"10,000","1,350",Monkey Pet,,PET_SKIN_MONKEY_GORILLA
Ivory Black Cat Skin,27-Apr-2021,"10,000",650,Black Cat Pet,No,PET_SKIN_BLACK_CAT_IVORY
Onyx Black Cat Skin,,"10,000",650,,,PET_SKIN_BLACK_CAT_ONYX
Aquamarine Rabbit Skin,14-Apr-2021,"Unlimited sales
(active for 2 days)",650,Rabbit Pet,No,PET_SKIN_RABBIT_AQUAMARINE
Rose Rabbit Skin,,"Unlimited sales
(active for 2 days)",650,,,PET_SKIN_RABBIT_ROSE
Baby Chick Chicken Skin,5-Apr-2021,"Unlimited sales
(active for 2 days)",650,Chicken Pet,No,PET_SKIN_CHICKEN_BABY_CHICK
Blue Egged Skin,,"Unlimited sales
(active for 2 days)",650,Backpack,,BLUE_EGG
Green Egged Skin,,"Unlimited sales
(active for 2 days)",650,,,GREEN_EGG
Purple Egged Skin,,"Unlimited sales
(active for 2 days)",650,,,PURPLE_EGG
Admiral Skin,30-Mar-2021,"Unlimited sales
(active for 2 days)",650,Shadow Assassin Helmet,No,SHADOW_ASSASSIN_ADMIRAL
Mauve Skin,,"Unlimited sales
(active for 2 days)",650,,,SHADOW_ASSASSIN_MAUVE
Crimson Skin,,"Unlimited sales
(active for 2 days)",650,,,SHADOW_ASSASSIN_CRIMSON
Monochrome Elephant Skin,22-Mar-2021,"7,500",650,Elephant Pet,Adapts to the day-night cycle,PET_SKIN_ELEPHANT_MONOCHROME
Orca Blue Whale Skin,9-Mar-2021,"5,000",650,Blue Whale Pet,No,PET_SKIN_WHALE_ORCA
Enderpack Skin,24-Feb-2021,"5,000",650,Backpack,No,ENDERPACK
Red Elephant Skin,13-Feb-2021,"1,000",650,Elephant Pet,No,PET_SKIN_ELEPHANT_RED
Green Elephant Skin,,"1,000",650,,,PET_SKIN_ELEPHANT_GREEN
Purple Elephant Skin,,"1,000",650,,,PET_SKIN_ELEPHANT_PURPLE
Neon Blue Ender Dragon Skin,8-Feb-2021,"2,500",950,Ender Dragon Pet,No,PET_SKIN_DRAGON_NEON_BLUE
Neon Purple Ender Dragon Skin,,"2,500",950,,,PET_SKIN_DRAGON_NEON_PURPLE
Neon Red Ender Dragon Skin,,"2,500",950,,,PET_SKIN_DRAGON_NEON_RED
Zombie Skeleton Horse Skin,28-Jan-2021,"4,000",650,Skeleton Horse Pet,No,PET_SKIN_HORSE_ZOMBIE
Fossilized Silverfish Skin,22-Jan-2021,"5,000",650,Silverfish Pet,No,PET_SKIN_SILVERFISH_FOSSILIZED
Golden Monkey Skin,13-Jan-2021,"2,000",750,Monkey Pet,No,PET_SKIN_MONKEY_GOLDEN
Neon Yellow Sheep Skin,5-Jan-2021,500,650,Sheep Pet,No,PET_SKIN_SHEEP_NEON_YELLOW
Neon Red Sheep Skin,,500,650,,,PET_SKIN_SHEEP_NEON_RED
Neon Blue Sheep Skin,,500,650,,,PET_SKIN_SHEEP_NEON_BLUE
Neon Green Sheep Skin,,500,650,,,PET_SKIN_SHEEP_NEON_GREEN
